pairs,candidate_wins,control_wins,candidate_draws,control_draws,candidate_only_wins,control_only_wins,effect,mcnemar_exact_two_sided_p,candidate_errors,control_errors,opponent_errors,source_artifact,actual_order
100,75,77,0,0,8,10,-0.02,0.8145294189453125,0,0,0,artifacts/final_sprint/exp23_vs_Broader3Auth_p200.json,first
200,172,183,0,0,9,20,-0.055,0.06142834573984146,0,0,0,artifacts/final_sprint/exp23_vs_Broader3_p400.json,first
200,175,167,0,0,22,14,0.04,0.2429849540349096,0,0,0,artifacts/final_sprint/exp23_vs_Broader3_p400.json,second
600,355,337,1,2,121,103,0.03,0.25596461781212143,0,0,0,artifacts/final_sprint/exp23_vs_ctl_Matched1_p1200b.json,first
600,343,311,0,4,125,93,0.05333333333333334,0.03552375662846776,0,0,0,artifacts/final_sprint/exp23_vs_ctl_Matched1_p1200b.json,second
400,245,226,1,3,83,64,0.0475,0.13737776624912407,0,0,0,artifacts/final_sprint/exp23_vs_ctl_Matched1_p800.json,first
400,232,224,0,2,72,64,0.02,0.5485023614867376,0,0,0,artifacts/final_sprint/exp23_vs_ctl_Matched1_p800.json,second
400,229,212,0,1,83,66,0.0425,0.18975855790673743,0,0,0,artifacts/final_sprint/exp23_vs_ctl_Matched3_p800.json,first
400,232,198,0,0,93,59,0.085,0.007234542621729949,0,0,0,artifacts/final_sprint/exp23_vs_ctl_Matched3_p800.json,second
400,218,208,0,0,82,72,0.025,0.46842077785276937,0,0,0,artifacts/final_sprint/exp23_vs_ctl_Matched3_p800_fresh.json,first
400,230,194,0,0,105,69,0.09,0.0077879297776790824,0,0,0,artifacts/final_sprint/exp23_vs_ctl_Matched3_p800_fresh.json,second
400,234,207,1,0,93,66,0.0675,0.038877995222780744,0,0,0,artifacts/final_sprint/exp23_vs_ctl_Matched4_p800.json,first
400,217,194,0,1,89,66,0.0575,0.07687597125332386,0,0,0,artifacts/final_sprint/exp23_vs_ctl_Matched4_p800.json,second
100,68,64,0,0,13,9,0.04,0.5234670639038086,0,0,0,artifacts/final_sprint/exp23_vs_Broader2_p200.json,first
100,43,46,0,0,15,18,-0.03,0.7283324808813632,0,0,0,artifacts/final_sprint/exp23_vs_Broader2_p200.json,second
200,129,137,0,0,24,32,-0.04,0.3496819529836849,0,0,0,artifacts/final_sprint/exp23_vs_Broader1_p400.json,first
200,138,122,0,0,43,27,0.08,0.07223792719176259,0,0,0,artifacts/final_sprint/exp23_vs_Broader1_p400.json,second
