construction,system,descriptive,paired_inference,replay,crn,event_alignment
G01,holdem,VALID,VALID,VALID,VALID,NOT_APPLICABLE
G01,ising,VALID,VALID,VALID,VALID,NOT_APPLICABLE
G02,holdem,VALID,VALID,VALID,VALID,VALID
G02,ising,VALID,VALID,VALID,VALID,VALID
G03,holdem,INVALID,DOWNGRADE,VALID,INVALID,NOT_APPLICABLE
G03,ising,INVALID,DOWNGRADE,VALID,INVALID,NOT_APPLICABLE
G04,holdem,INVALID,DOWNGRADE,VALID,INVALID,NOT_APPLICABLE
G04,ising,INVALID,DOWNGRADE,VALID,INVALID,NOT_APPLICABLE
G05,holdem,VALID,DOWNGRADE,VALID,INVALID,NOT_APPLICABLE
G05,ising,VALID,DOWNGRADE,VALID,INVALID,NOT_APPLICABLE
G06,holdem,VALID,DOWNGRADE,VALID,INVALID,NOT_APPLICABLE
G06,ising,VALID,DOWNGRADE,VALID,INVALID,NOT_APPLICABLE
G07,holdem,VALID,VALID,INVALID,VALID,NOT_APPLICABLE
G07,ising,VALID,VALID,INVALID,VALID,NOT_APPLICABLE
G08,holdem,VALID,DOWNGRADE,INVALID,INVALID,NOT_APPLICABLE
G08,ising,VALID,DOWNGRADE,INVALID,INVALID,NOT_APPLICABLE
G09,holdem,VALID,DOWNGRADE,INVALID,INVALID,NOT_APPLICABLE
G09,ising,VALID,DOWNGRADE,INVALID,INVALID,NOT_APPLICABLE
G10,holdem,INVALID,DOWNGRADE,VALID,VALID,NOT_APPLICABLE
G10,ising,INVALID,DOWNGRADE,VALID,VALID,NOT_APPLICABLE
G11,holdem,VALID,VALID,INVALID,VALID,NOT_APPLICABLE
G11,ising,VALID,VALID,INVALID,VALID,NOT_APPLICABLE
G12,holdem,VALID,INVALID,VALID,VALID,NOT_APPLICABLE
G12,ising,VALID,INVALID,VALID,VALID,NOT_APPLICABLE
G13,holdem,VALID,INVALID,VALID,INVALID,NOT_APPLICABLE
G13,ising,VALID,INVALID,VALID,INVALID,NOT_APPLICABLE
G14,holdem,INVALID,DOWNGRADE,VALID,VALID,NOT_APPLICABLE
G14,ising,INVALID,DOWNGRADE,VALID,VALID,NOT_APPLICABLE
G15,holdem,VALID,DOWNGRADE,INVALID,INVALID,NOT_APPLICABLE
G15,ising,VALID,DOWNGRADE,INVALID,INVALID,NOT_APPLICABLE
G16,holdem,VALID,DOWNGRADE,VALID,INVALID,INVALID
G16,ising,VALID,DOWNGRADE,VALID,INVALID,INVALID
G17,holdem,INVALID,DOWNGRADE,VALID,INVALID,NOT_APPLICABLE
G17,ising,INVALID,DOWNGRADE,VALID,INVALID,NOT_APPLICABLE
G18,holdem,INVALID,DOWNGRADE,INVALID,INVALID,NOT_APPLICABLE
G18,ising,INVALID,DOWNGRADE,INVALID,INVALID,NOT_APPLICABLE
G19,holdem,VALID,VALID,VALID,INVALID,INVALID
