branch,metric,method,reference,method_x,method_n,reference_x,reference_n,risk_difference_method_minus_B7,newcombe_lo,newcombe_hi,p_value,p_holm,test_note
BRANCH_A,M1_detection,B0_schedule_only,B7_csvf_full,0,134,134,134,-1.0,-1.0,-0.960588,0.0,0.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_A,M2_false_suppression,B0_schedule_only,B7_csvf_full,80,720,0,720,0.111111,0.089525,0.136162,0.0,0.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_A,M1_detection,B1_outcome_aa,B7_csvf_full,0,134,134,134,-1.0,-1.0,-0.960588,0.0,0.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_A,M2_false_suppression,B1_outcome_aa,B7_csvf_full,80,720,0,720,0.111111,0.089525,0.136162,0.0,0.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_A,M1_detection,B2_trace_aa,B7_csvf_full,0,134,134,134,-1.0,-1.0,-0.960588,0.0,0.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_A,M2_false_suppression,B2_trace_aa,B7_csvf_full,80,720,0,720,0.111111,0.089525,0.136162,0.0,0.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_A,M1_detection,B3_within_seed_reps,B7_csvf_full,0,134,134,134,-1.0,-1.0,-0.960588,0.0,0.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_A,M2_false_suppression,B3_within_seed_reps,B7_csvf_full,80,720,0,720,0.111111,0.089525,0.136162,0.0,0.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_A,M1_detection,B4_unpaired,B7_csvf_full,0,134,134,134,-1.0,-1.0,-0.960588,0.0,0.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_A,M2_false_suppression,B4_unpaired,B7_csvf_full,0,720,0,720,0.0,-0.005307,0.005307,1.0,1.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_A,M1_detection,B5_cluster_hier,B7_csvf_full,0,134,134,134,-1.0,-1.0,-0.960588,0.0,0.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_A,M2_false_suppression,B5_cluster_hier,B7_csvf_full,0,720,0,720,0.0,-0.005307,0.005307,1.0,1.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_A,M1_detection,B6_event_keyed_wb,B7_csvf_full,0,134,134,134,-1.0,-1.0,-0.960588,0.0,0.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_A,M2_false_suppression,B6_event_keyed_wb,B7_csvf_full,0,720,0,720,0.0,-0.005307,0.005307,1.0,1.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_B,M1_detection,B0_schedule_only,B7_csvf_full,80,160,160,160,-0.5,-0.576561,-0.41993,0.0,0.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_B,M2_false_suppression,B0_schedule_only,B7_csvf_full,0,320,120,320,-0.375,-0.429231,-0.32238,0.0,0.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_B,M1_detection,B1_outcome_aa,B7_csvf_full,80,160,160,160,-0.5,-0.576561,-0.41993,0.0,0.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_B,M2_false_suppression,B1_outcome_aa,B7_csvf_full,0,320,120,320,-0.375,-0.429231,-0.32238,0.0,0.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_B,M1_detection,B2_trace_aa,B7_csvf_full,80,160,160,160,-0.5,-0.576561,-0.41993,0.0,0.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_B,M2_false_suppression,B2_trace_aa,B7_csvf_full,0,320,120,320,-0.375,-0.429231,-0.32238,0.0,0.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_B,M1_detection,B3_within_seed_reps,B7_csvf_full,80,160,160,160,-0.5,-0.576561,-0.41993,0.0,0.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_B,M2_false_suppression,B3_within_seed_reps,B7_csvf_full,0,320,120,320,-0.375,-0.429231,-0.32238,0.0,0.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_B,M1_detection,B4_unpaired,B7_csvf_full,0,160,160,160,-1.0,-1.0,-0.966842,0.0,0.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_B,M2_false_suppression,B4_unpaired,B7_csvf_full,320,320,120,320,0.625,0.569487,0.676266,0.0,0.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_B,M1_detection,B5_cluster_hier,B7_csvf_full,160,160,160,160,0.0,-0.023446,0.023446,1.0,1.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_B,M2_false_suppression,B5_cluster_hier,B7_csvf_full,0,320,120,320,-0.375,-0.429231,-0.32238,0.0,0.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_B,M1_detection,B6_event_keyed_wb,B7_csvf_full,0,160,160,160,-1.0,-1.0,-0.966842,0.0,0.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_B,M2_false_suppression,B6_event_keyed_wb,B7_csvf_full,0,320,120,320,-0.375,-0.429231,-0.32238,0.0,0.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_C,M1_detection,B0_schedule_only,B7_csvf_full,0,320,156,320,-0.4875,-0.542088,-0.431928,0.0,0.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_C,M2_false_suppression,B0_schedule_only,B7_csvf_full,0,534,0,534,0.0,-0.007142,0.007142,1.0,1.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_C,M1_detection,B1_outcome_aa,B7_csvf_full,0,320,156,320,-0.4875,-0.542088,-0.431928,0.0,0.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_C,M2_false_suppression,B1_outcome_aa,B7_csvf_full,0,534,0,534,0.0,-0.007142,0.007142,1.0,1.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_C,M1_detection,B2_trace_aa,B7_csvf_full,80,320,156,320,-0.2375,-0.307795,-0.163543,5e-10,9e-09,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_C,M2_false_suppression,B2_trace_aa,B7_csvf_full,0,534,0,534,0.0,-0.007142,0.007142,1.0,1.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_C,M1_detection,B3_within_seed_reps,B7_csvf_full,280,320,156,320,0.3875,0.319384,0.450442,0.0,0.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_C,M2_false_suppression,B3_within_seed_reps,B7_csvf_full,454,534,0,534,0.850187,0.816652,0.877951,0.0,0.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_C,M1_detection,B4_unpaired,B7_csvf_full,0,320,156,320,-0.4875,-0.542088,-0.431928,0.0,0.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_C,M2_false_suppression,B4_unpaired,B7_csvf_full,534,534,0,534,1.0,0.989899,1.0,0.0,0.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_C,M1_detection,B5_cluster_hier,B7_csvf_full,0,320,156,320,-0.4875,-0.542088,-0.431928,0.0,0.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
BRANCH_C,M2_false_suppression,B5_cluster_hier,B7_csvf_full,0,534,0,534,0.0,-0.007142,0.007142,1.0,1.0,"Frozen two-proportion z-test; cells are matched, so dependence is a limitation."
