system,scenario,procedure,n,metric,estimate,mcse,B,status
holdem,S0,paired_t,10,power,0.1005,0.006723,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S0,paired_t,10,typeI,0.0585,0.005248,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S0,paired_t,10,alt_coverage,0.956,0.004586,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S0,paired_t,10,null_coverage,0.9415,0.005248,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S0,welch,10,power,0.087,0.006302,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S0,welch,10,typeI,0.049,0.004827,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S0,welch,10,alt_coverage,0.9485,0.004942,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S0,welch,10,null_coverage,0.951,0.004827,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S0,paired_t,20,power,0.149,0.007962,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S0,paired_t,20,typeI,0.048,0.00478,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S0,paired_t,20,alt_coverage,0.9495,0.004896,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S0,paired_t,20,null_coverage,0.952,0.00478,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S0,welch,20,power,0.125,0.007395,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S0,welch,20,typeI,0.046,0.004684,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S0,welch,20,alt_coverage,0.95,0.004873,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S0,welch,20,null_coverage,0.954,0.004684,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S0,paired_t,40,power,0.2355,0.009488,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S0,paired_t,40,typeI,0.051,0.004919,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S0,paired_t,40,alt_coverage,0.9425,0.005205,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S0,paired_t,40,null_coverage,0.949,0.004919,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S0,welch,40,power,0.2405,0.009557,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S0,welch,40,typeI,0.043,0.004536,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S0,welch,40,alt_coverage,0.954,0.004684,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S0,welch,40,null_coverage,0.957,0.004536,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S0,paired_t,80,power,0.4055,0.010979,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S0,paired_t,80,typeI,0.05,0.004873,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S0,paired_t,80,alt_coverage,0.953,0.004732,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S0,paired_t,80,null_coverage,0.95,0.004873,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S0,welch,80,power,0.4055,0.010979,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S0,welch,80,typeI,0.0455,0.00466,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S0,welch,80,alt_coverage,0.9475,0.004987,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S0,welch,80,null_coverage,0.9545,0.00466,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S3,paired_t,10,power,0.0,0.0,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S3,paired_t,10,typeI,0.0,0.0,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S3,paired_t,10,alt_coverage,1.0,0.0,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S3,paired_t,10,null_coverage,1.0,0.0,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S3,welch,10,power,0.05,0.004873,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S3,welch,10,typeI,0.0415,0.00446,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S3,welch,10,alt_coverage,0.95,0.004873,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S3,welch,10,null_coverage,0.9585,0.00446,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S3,paired_t,20,power,0.0,0.0,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S3,paired_t,20,typeI,0.0,0.0,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
