system,scenario,procedure,n,metric,estimate,mcse,B,status
holdem,S0,paired_t,40,typeI,0.051,0.004919,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S0,paired_t,40,null_coverage,0.949,0.004919,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S0,welch,40,typeI,0.043,0.004536,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S0,welch,40,null_coverage,0.957,0.004536,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S3,paired_t,40,typeI,0.0,0.0,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S3,paired_t,40,null_coverage,1.0,0.0,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S3,welch,40,typeI,0.0475,0.004756,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
holdem,S3,welch,40,null_coverage,0.9525,0.004756,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S0,paired_t,40,typeI,0.0725,0.005798,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S0,paired_t,40,null_coverage,0.9275,0.005798,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S0,welch,40,typeI,0.064,0.005473,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S0,welch,40,null_coverage,0.936,0.005473,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S3,paired_t,40,typeI,0.055,0.005098,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S3,paired_t,40,null_coverage,0.945,0.005098,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S3,welch,40,typeI,0.053,0.00501,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
ising,S3,welch,40,null_coverage,0.947,0.00501,2000,POST_FREEZE_DIAGNOSTIC_NOT_CONFIRMATORY
