system,scenario,n_pairs,runtime_median_s,runtime_p95_s,storage_median_bytes,storage_p95_bytes,draws_median,draws_p95
holdem,ALL,427,0.006447,0.021127,1694,38504,20,1092
holdem,S0,40,0.005046,0.008049,1694,1698,20,20
holdem,S1,40,0.006627,0.010183,1694,1697,20,20
holdem,S10,40,0.012546,0.04359,1694,1697,20,20
holdem,S2,40,0.006372,0.051639,1693,1697,20,20
holdem,S3,40,0.011971,0.071851,38510,38584,1094,1115
holdem,S4,40,0.0,0.0,259,260,20,20
holdem,S5,40,0.005833,0.008615,1694,1698,20,20
holdem,S6,40,0.007534,0.010342,1695,1698,20,20
holdem,S7,27,0.007279,0.010953,1695,1699,20,20
holdem,S8,40,0.0,0.0,259,260,20,20
holdem,S9,40,0.00642,0.00852,1694,1698,20,20
ising,ALL,427,1.163642,1.782764,29009,29030,245108,246290
ising,S0,40,1.266293,2.075068,29010,29030,245035,246284
ising,S1,40,1.264905,1.505027,29008,29018,245146,246298
ising,S10,40,1.192996,2.093492,29007,29028,245091,246239
ising,S2,40,1.099018,1.489758,29018,29039,245133,246402
ising,S3,40,1.072615,1.508987,22277,22309,245233,246127
ising,S4,40,1.190982,1.554016,29010,29030,245035,246284
ising,S5,40,1.239001,1.596393,29010,29030,245035,246284
ising,S6,40,1.24092,1.688452,29010,29030,245035,246284
ising,S7,27,1.132108,1.443531,29008,29028,244962,246078
ising,S8,40,1.108795,1.518669,29010,29030,245035,246284
ising,S9,40,1.037235,1.885537,29010,29030,245035,246284
