pairs,candidate_wins,control_wins,candidate_draws,control_draws,candidate_only_wins,control_only_wins,effect,mcnemar_exact_two_sided_p,candidate_errors,control_errors,opponent_errors,opponent,family,actual_order,holm_adjusted_p_14_cells,ci_low,ci_high
200,128,114,1,0,43,29,0.07,0.12491820036864003,0,0,0,Matched1,Matched,first,1.0,-0.014999999664723873,0.15000000596046448
200,114,98,0,0,48,32,0.08,0.09291188222054621,0,0,0,Matched1,Matched,second,1.0,-0.004999999888241291,0.16500000655651093
200,184,175,0,0,18,9,0.045,0.12207812070846558,0,0,0,Broader3,Other,first,1.0,-0.004999999888241291,0.0949999988079071
200,172,169,0,0,21,18,0.015,0.7492586247608415,0,0,0,Broader3,Other,second,1.0,-0.04500000178813934,0.07500000298023224
200,123,109,0,1,47,33,0.07,0.1456354544029827,0,0,0,Matched2,Matched,first,1.0,-0.014999999664723873,0.1550000011920929
200,111,118,0,0,35,42,-0.035,0.49438227369550003,0,0,0,Matched2,Matched,second,1.0,-0.11999999731779099,0.05000000074505806
200,105,113,0,0,25,33,-0.04,0.3581433018061379,0,0,0,Broader2,Other,first,1.0,-0.11500000208616257,0.03500000014901161
200,91,94,0,0,26,29,-0.015,0.7877061896700435,0,0,0,Broader2,Other,second,1.0,-0.09000000357627869,0.054999999701976776
200,118,128,0,0,31,41,-0.05,0.28878428041410487,0,0,0,Matched3,Matched,first,1.0,-0.13500000536441803,0.03500000014901161
200,113,99,0,0,42,28,0.07,0.11960933562988493,0,0,0,Matched3,Matched,second,1.0,-0.009999999776482582,0.15000000596046448
200,123,109,0,0,45,31,0.07,0.1353851052994308,0,0,0,Matched4,Matched,first,1.0,-0.014999999664723873,0.1550000011920929
200,105,98,0,1,40,33,0.035,0.4827885568440213,0,0,0,Matched4,Matched,second,1.0,-0.05000000074505806,0.11999999731779099
200,149,138,0,0,30,19,0.055,0.15240777196147803,0,0,0,Broader1,Other,first,1.0,-0.014999999664723873,0.125
200,127,123,0,0,45,41,0.02,0.7465343822890573,0,0,0,Broader1,Other,second,1.0,-0.07000000029802322,0.10999999940395355
